file,path,algo,seed,num_vars,num_clauses,best_c,cpu_time
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,1,20,91,91,0.692498
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,2,20,91,91,0.686675
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,3,20,91,90,0.69721
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,4,20,91,90,0.688111
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,5,20,91,90,0.666212
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,6,20,91,91,0.683018
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,7,20,91,91,0.673361
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,8,20,91,91,0.6952
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,9,20,91,90,0.712519
uf20-0156.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0156.cnf,gsat,10,20,91,91,0.697051
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,1,20,91,89,0.679509
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,2,20,91,89,0.674087
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,3,20,91,91,0.688595
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,4,20,91,90,0.704706
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,5,20,91,91,0.688011
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,6,20,91,89,0.682684
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,7,20,91,91,0.680446
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,8,20,91,88,0.690594
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,9,20,91,90,0.670699
uf20-0157.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0157.cnf,gsat,10,20,91,89,0.684523
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,1,20,91,90,0.666107
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,2,20,91,90,0.659863
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,3,20,91,90,0.66168
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,4,20,91,90,0.656609
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,5,20,91,90,0.69703
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,6,20,91,91,0.656152
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,7,20,91,90,0.681561
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,8,20,91,91,0.664512
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,9,20,91,90,0.68173
uf20-0158.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0158.cnf,gsat,10,20,91,90,0.688948
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,1,20,91,90,0.669201
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,2,20,91,91,0.669774
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,3,20,91,90,0.683876
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,4,20,91,91,0.699566
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,5,20,91,91,0.706182
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,6,20,91,90,0.68776
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,7,20,91,90,0.699909
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,8,20,91,91,0.686505
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,9,20,91,89,0.736648
uf20-0159.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0159.cnf,gsat,10,20,91,90,0.730668
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,1,20,91,91,0.653298
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,2,20,91,91,0.650375
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,3,20,91,91,0.670883
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,4,20,91,89,0.675336
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,5,20,91,91,0.651407
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,6,20,91,91,0.67499
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,7,20,91,91,0.682545
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,8,20,91,91,0.660065
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,9,20,91,91,0.661042
uf20-0160.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0160.cnf,gsat,10,20,91,91,0.647459
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,1,20,91,90,0.692734
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,2,20,91,89,0.68798
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,3,20,91,91,0.689391
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,4,20,91,91,0.688396
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,5,20,91,89,0.675956
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,6,20,91,91,0.675656
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,7,20,91,89,0.663404
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,8,20,91,89,0.65967
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,9,20,91,91,0.66711
uf20-0161.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0161.cnf,gsat,10,20,91,91,0.676931
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,1,20,91,91,0.689509
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,2,20,91,89,0.686216
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,3,20,91,89,0.745819
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,4,20,91,91,0.798636
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,5,20,91,89,0.71622
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,6,20,91,91,0.67052
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,7,20,91,91,0.717679
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,8,20,91,91,0.689622
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,9,20,91,91,0.67153
uf20-0162.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0162.cnf,gsat,10,20,91,90,0.683845
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,1,20,91,90,0.662622
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,2,20,91,91,0.655833
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,3,20,91,91,0.673268
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,4,20,91,91,0.68724
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,5,20,91,91,0.720897
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,6,20,91,91,0.689295
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,7,20,91,90,0.680564
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,8,20,91,91,0.672741
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,9,20,91,90,0.684381
uf20-0163.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0163.cnf,gsat,10,20,91,90,0.682463
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,1,20,91,91,0.690545
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,2,20,91,91,0.661417
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,3,20,91,91,0.695204
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,4,20,91,91,0.679993
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,5,20,91,91,0.67022
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,6,20,91,91,0.673542
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,7,20,91,91,0.67854
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,8,20,91,91,0.671382
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,9,20,91,91,0.668831
uf20-0164.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0164.cnf,gsat,10,20,91,91,0.675609
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,1,20,91,90,0.679048
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,2,20,91,91,0.647368
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,3,20,91,91,0.642016
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,4,20,91,91,0.662348
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,5,20,91,91,0.645794
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,6,20,91,91,0.660508
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,7,20,91,91,0.639416
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,8,20,91,90,0.654381
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,9,20,91,90,0.682135
uf20-0165.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf20-0165.cnf,gsat,10,20,91,91,0.644491
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,1,50,218,218,3.767996
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,2,50,218,215,3.844357
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,3,50,218,216,3.83039
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,4,50,218,216,4.023693
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,5,50,218,217,3.993622
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,6,50,218,218,3.761781
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,7,50,218,217,3.809555
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,8,50,218,216,3.838009
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,9,50,218,218,3.832217
uf50-01.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-01.cnf,gsat,10,50,218,215,3.835141
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,1,50,218,218,3.825923
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,2,50,218,217,3.968992
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,3,50,218,216,3.799587
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,4,50,218,218,3.87231
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,5,50,218,213,3.879991
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,6,50,218,218,3.856956
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,7,50,218,216,3.794351
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,8,50,218,218,3.82747
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,9,50,218,217,3.781569
uf50-010.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-010.cnf,gsat,10,50,218,218,3.83765
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,1,50,218,217,3.700321
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,2,50,218,216,3.705255
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,3,50,218,218,3.756601
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,4,50,218,218,3.757043
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,5,50,218,216,3.696844
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,6,50,218,217,3.755188
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,7,50,218,217,3.635901
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,8,50,218,218,3.751783
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,9,50,218,216,3.701543
uf50-02.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-02.cnf,gsat,10,50,218,217,3.655565
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,1,50,218,218,3.673517
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,2,50,218,217,3.721083
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,3,50,218,215,3.879542
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,4,50,218,217,3.735743
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,5,50,218,218,3.691876
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,6,50,218,218,3.684146
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,7,50,218,216,3.738385
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,8,50,218,218,3.705982
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,9,50,218,214,3.764314
uf50-03.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-03.cnf,gsat,10,50,218,218,3.688183
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,1,50,218,217,3.708726
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,2,50,218,215,3.764849
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,3,50,218,215,3.919095
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,4,50,218,216,3.847999
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,5,50,218,218,3.755332
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,6,50,218,218,3.723794
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,7,50,218,217,3.792108
uf50-04.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-04.cnf,gsat,8,50,218,218,3.789341
